[learnit]
[mode: cards]
[delim: 	]
szórakozik, beszélget	sich unterhalten
vállalkozik v-re	unternehmen
tanít	unterrichten
támogat	unterstützen
jobbít, javít	verbessern
eltölt	verbringen
pénzt keres	Geld verdienen
elmúlik	vergehen
elfelejt	vergessen
összehasonlít	vergleichen
viselkedik	sich verhalten
elad	verkaufen
veszít	verlieren
hiányol	vermissen
megért	verstehen
értik egymást	sich verstehen
bízik v-ben	vertrauen
bemutatkozik	sich vorstellen
felnő	aufwachsen
felébred	aufwachen
választ	wählen
vándorol, túrázik	wandern
bemelegít	sich aufwärmen
vár v-re, v-t	warten
vár v-t	warten
tud	wissen
továbbít	weiterleiten
akar	wollen
lesz, válik valamivé	werden
eldob	wegwerfen
lakik	wohnen
csodálkozik	sich wundern
kíván	wünschen
kockával dob, kockára vág	würfeln
mutat	zeigen
ruhadarabot felvesz, vonz	anziehen
elköltözik	ausziehen
beköltözik	einziehen
felöltözködik	sich anziehen
átköltözik	umziehen
oda-, hozzáköltözik	zuziehen
