[learnit]
[mode: verbs]
[delim: 	]

Lecke	Infinitiv	E/3	Präteritum	Perfekt	Jelentés	Egyéb
15	nennen	nennt	nannte	hat genannt	nevez	
8	nerven	nervt	nervte	hat genervt	idegesít	
3	nehmen	nimmt	nahm	hat genommen	vesz(univerzális)	
11	annehmen	nimmt an	nahm an	hat angenommen	tolerál, elfogad	
8	mitnehmen	nimmt mit	nahm mit	hat mitgenommen	magával visz	
19	notieren	notiert	notierte	hat genotiert	jegyzetel	
12	ordnen	ordnet	ordnete	hat geordnet	rendszerez, elrendez	
10	organisieren	organisiert	organisierte	hat organisiert	szervez	
17	sich orientieren	orieniert sich	orientierte sich	hat sich orientiert	tájékozódik	
4	auspacken	packt aus	packte aus	hat ausgepackt	kipakol	
11	passieren	passiert	passierte	ist passiert	történik	
9	passen	passt	passte	hat gepasst	illik, passzol	
16	passen	passt	passte	hat gepasst	illeszkedik	zu+D
10	planen	plant	plante	hat geplant	tervez	
9	anprobieren	probiert an	probierte an	hat angeprobiert	felpróbál	
18	provozieren	provoziert	provozierte	hat geprovoziert	provokál	
15	raten	rät	riet	hat geraten	tanácsot ad	
10	rauchen	raucht	rauchte	hat geraucht	dohányzik	
10	aufräumen	räumt auf	räumte auf	hat aufgeräumt	kitakarít	
17	reagieren	reagiert	reagierte	hat reagiert	reagál	
20	recyceln	recycelt	recycelte	hat recycelt	újrahasznosít	
10	reden	redet	redete	hat geredet	beszélget	
7	regnen	regnet	regnete	hat geregnet	esik (eső)	
18	anregen	regt an	regte an	hat angeregt	ösztönöz	
2	reisen	reist	reiste	ist gereist	utazik	
16	relaxen	relaxt	relaxte	hat relaxt	pihen	
15	rennen	rennt	rannte	ist gerannt	rohan	
19	renovieren	renoviert	renovierte	hat gerenoviert	felújít	
9	reparieren	repariert	reparierte	hat repariert	megjavít	
8	riechen	riecht	roch	hat gerochen	szaga van v-nek, megszagol	
17	riechen	riecht	roch	hat gerochen	szaglik	
18	rufen	ruft	rief	hat gerufen	kiált, szólít	
4	anrufen	ruft an	rief an	hat angerufen	felhív	
6	sagen	sagt	sagte	hat gesagt	mond	
19	absagen	sagt ab	sagte ab	hat abgesagt	lemond v-t	
10	sammeln	sammelt	sammelte	hat gesammelt	gyűjt	
19	abschalten	schaltet ab	schaltete ab	hat abgeschaltet	lekapcsol	
14	sich schämen	schämt sich	schämte sich	hat sich geschämt	szégyelli magát	
5	anschauen	schaut an	schaute an	hat angeschaut	megnéz	
4	scheinen	scheint	schien	hat geschienen	süt (a nap)	
9	schenken	schenkt	schenkte	hat geschenkt	ajándékoz	
13	schicken	schickt	schickte	hat geschickt	küld	
