[learnit]
[mode: verbs]
[delimiter: ;]

Lecke;Infinitiv;E/3;Präteritum;Perfekt;Jelentés;Egyéb
8;anmachen;macht an;machte an;hat angemacht;be-, felkapcsol;
8;baden;badet;badete;hat gebadet;fürdik;
8;brauchen;braucht;brauchte;hat gebraucht;szüksége van v-re;
8;hinfahren;fährt hin;fuhr hin;ist/hat hingefahren;odautazik;
8;mieten;mietet;mietete;hat gemietet;bérel;
8;mitnehmen;nimmt mit;nahm mit;hat mitgenommen;magával visz;
8;nerven;nervt;nervte;hat genervt;idegesít;
8;riechen;riecht;roch;hat gerochen;szaga van v-nek, megszagol;
9;anprobieren;probiert an;probierte an;hat angeprobiert;felpróbál;
9;gefallen;gefällt;gefiel;hat gefallen;tetszik;
9;helfen;hilft;half;hat geholfen;segít;
9;hinunterfallen;fällt hinunter;fiel hinunter;ist hinuntergefallen;leesik;
9;kennenlernen;lernt kennen;lernte kennen;hat kennengelernt;megismer v-t;
9;passen;passt;passte;hat gepasst;illik, passzol;
9;reparieren;repariert;reparierte;hat repariert;megjavít;
9;schenken;schenkt;schenkte;hat geschenkt;ajándékoz;
9;stehen;steht;stand;hat gestanden;áll;
9;tauschen;tauscht;tauschte;hat getauscht;cserél;
9;teilen;teilt;teilte;hat geteilt;megoszt;
9;verbessern;verbessert;verbesserte;hat verbessert;jobbít, javít;
9;zeigen;zeigt;zeigte;hat gezeigt;mutat;
9;übrigbleiben;bleibt übrig;blieb übrig;ist übriggeblieben;megmarad;
10;antworten;antwortet;antwortete;hat geantwortet;felel/válaszol;
10;aufräumen;räumt auf;räumte auf;hat aufgeräumt;kitakarít;
10;aussehen;sieht aus;sah aus;hat ausgesehen;kinéz valahogy;
10;austauschen;tauscht aus;tauschte aus;hat ausgetauscht;kicserél;
10;bekommen;bekommt;bekam;hat bekommen;kap;
10;bringen;bringt;brachte;hat gebracht;hoz, visz;
10;eingeben;gibt ein;gab ein;hat eingegeben;bead, betáplál;
10;einladen;lädt ein;lud ein;hat eingeladen;meghív;
10;erzählen;erzählt;erzählte;hat erzählt;elmesél;
10;fehlen;fehlt;fehlte;hat gefehlt;hiányzik;
10;feiern;feiert;feierte;hat gefeiert;ünnepel;
10;fragen;fragt;fragte;hat gefragt;kérdez;
10;geboren sein;ist geboren;war geboren;ist geboren;születik;
10;gebären;gebiert;gebar;hat geboren;szül;
10;hochladen;lädt hoch;lud hoch;hat hochgeladen;feltölt;
10;meinen;meint;meinte;hat gemeint;gondol, vél;
10;organisieren;organisiert;organisierte;hat organisiert;szervez;
10;planen;plant;plante;hat geplant;tervez;
10;rauchen;raucht;rauchte;hat geraucht;dohányzik;
10;reden;redet;redete;hat geredet;beszélget;
10;sammeln;sammelt;sammelte;hat gesammelt;gyűjt;
10;stattfinden;findet statt;fand statt;hat stattgefunden;zajlik, van;
10;tragen;trägt;trug;hat getragen;hord, visel;
10;treffen;trifft;traf;hat getroffen;találkozik;
10;vergessen;vergisst;vergaß;hat vergessen;elfelejt;
10;wehtun;tut weh;tat weh;hat wehgetan;fájdalmat okoz;
10;zu Abend essen;isst zu Abend;aß zu Abend;hat zu Abend gegessen;vacsorázik;
11;abschließen;schließt ab;schloss ab;hat abgeschlossen;befejez, lezár;
11;akzeptieren;akzeptiert;akzeptierte;hat akzeptiert;elfogad;
11;annehmen;nimmt an;nahm an;hat angenommen;tolerál, elfogad;
11;auftreten;tritt auf;trat auf;ist aufgetreten;fellép;
11;beantragen;beantragt;beantragte;hat beantragt;kérvényez;
11;diskutieren;diskutiert;diskutierte;hat diskutiert;megvitat;
11;flüchten;flüchtet;flüchtete;ist geflüchtet;menekül, szökik;
11;irritieren;irritiert;irritierte;hat irritiert;irritál;
11;motivieren;motiviert;motivierte;hat motiviert;ösztönöz;
11;passieren;passiert;passierte;ist passiert;történik;
11;umziehen;zieht um;zog um;ist umgezogen;átköltözik;
11;wissen;weiß;wusste;hat gewusst;tud;
11;üben;übt;übte;hat geübt;gyakorol;
12;bedeuten;bedeutet;bedeutete;hat bedeutet;jelent, jelentéssel bír;
12;beschreiben;beschreibt;beschrieb;hat beschrieben;leír, ábrázol, jellemez;
12;erklären;erklärt;erklärte;hat erklärt;elmagyaráz;
12;hängen;hängt;hängte;hat gehängt;akaszt, rak, helyez;
12;legen;legt;legte;hat gelegt;fektet, rak, helyez;
12;stellen;stellt;stellte;hat gestellt;állít, rak, helyez;
12;ordnen;ordnet;ordnete;hat geordnet;rendszerez, elrendez;
12;warten;wartet;wartete;hat gewartet;vár v-re, v-t;auf + A
13;aufmachen;macht auf;machte auf;hat aufgemacht;kinyit, felnyit;
13;ausfüllen;füllt aus;füllte aus;hat ausgefüllt;kitölt;
13;empfehlen;empfiehlt;empfahl;hat empfohlen;ajánl;
13;gute Laune haben;hat gute Laune;hatte gute Laune;hat gute Laune gehabt;jó hangulata van;
13;jm eine Freude machen;macht jm eine Freude;machte jm eine Freude;hat jm eine Freude gemacht;örömet szerez;
13;löschen;löscht;löschte;hat gelöscht;töröl;
13;schicken;schickt;schickte;hat geschickt;küld;
13;vergleichen;vergleicht;verglich;hat verglichen;összehasonlít;A, mit+D
13;zumachen;macht zu;machte zu;hat zugemacht;bezár;A, an+D
13;ändern;ändert;änderte;hat geändert;változtat v-t, v-n;
13;überweisen;überweist;überwies;hat überwiesen;átutal;
14;ansprechen;spricht an;sprach an;hat angesprochen;megszólít (átvitt: megérint);
14;aufschreiben;schreibt auf;schrieb auf;hat aufgeschrieben;felír;
14;ausmachen;macht aus;machte aus;hat ausgemacht;megegyezik, kikapcsol;
14;einsteigen;steigt ein;stieg ein;ist eingestiegen;be-, felszáll;
14;entstehen;entsteht;entstand;ist entstanden;keletkezik;
14;erkennen;erkennt;erkannte;hat erkannt;felismer;(amiről: an+D)
14;filmen;filmt;filmte;hat gefilmt;filmez;
14;gehören;gehört;gehörte;hat gehört;vmi valakié;das Auto gehört mir: Dativ
14;gestalten;gestaltet;gestaltete;hat gestalten;alakít, formál;
14;halten;hält;hielt;hat gehalten;tart (átvitt értelemben is);
14;malen;malt;malte;hat gemalt;fest;
14;nahekommen;kommt nahe;kam nahe;ist nahegekommen;közel kerül v-hez (átvitt is);Dativ
14;sich bedanken;bedankt sich;bedankte sich;hat sich bedankt;megköszön;akinek: bei+D, amit für+A
14;sich beeilen;beeilt sich;beeilte sich;hat sich beeilt;siet;
14;sich behehmen;benimmt sich;benahm sich;hat sich benommen;viselkedik;
14;sich freuen;freut sich;freute sich;hat sich gefreut;örül;(most: über előre: auf)
14;sich fühlen;fühlt sich;fühlte sich;hat sich gefühlt;érzi magát;
14;sich kennenlernen;lernt sich kennen;lernte sich kennen;hat sich kennengelernt;megismerkedik v-vel;Akkusativ
14;sich schämen;schämt sich;schämte sich;hat sich geschämt;szégyelli magát;
14;sich treffen;trifft sich;traf sich;hat sich getroffen;találkozik v-vel;mit+D
14;sich unterhalten;unterhält sich;unterhielt sich;hat sich unterhalten;szórakozik, beszélget;
14;sich verhalten;verhält sich;verhielt sich;hat sich verhalten;viselkedik;
14;sich wohlfühlen;fühlt sich wohl;fühlte sich wohl;hat sich wohlgefühlt;jól érzi magát;
14;sich ärgern;ärgert sich;ärgerte sich;hat sich geärgert;bosszankodik;(über+A)
14;umarmen;umarmt;umarmte;hat umarmt;átölel;
14;vertrauen;vertraut;vertraute;hat vertraut;bízik v-ben;Dativ
15;anfassen;fasst an;fasste an;hat angefasst;megfog;
15;atmen;atmet;atmete;hat geatmet;lélegzik;
15;beenden;beendet;beendete;hat beendet;befejez;
15;beweisen;beweist;bewies;hat bewiesen;bizonyít;
15;boxen;boxt;boxte;hat geboxt;bokszol;
15;erreichen;erreicht;erreichte;hat erreicht;elér;
15;garantieren;garantiert;garantierte;hat gegarantiert;biztosít;
15;gewinnen;gewinnt;gewann;hat gewonnen;győz;
15;interessieren;interessiert;interessierte;hat interessiert;érdekel;
15;mischen;mischt;mischte;hat gemischt;kever;
15;nennen;nennt;nannte;hat genannt;nevez;
15;raten;rät;riet;hat geraten;tanácsot ad;
15;rennen;rennt;rannte;ist gerannt;rohan;
15;schießen;schießt;schoss;hat geschossen;lő;
15;sich anziehen;zieht sich an;zog sich an;hat sich angezogen;felöltözködik;
15;sich aufwärmen;wärmt sich auf;wärmte sich auf;hat sich aufgewärmt;bemelegít;
15;sich duschen;duscht sich;duschte sich;hat sich geduscht;zuhanyozik;
15;sollen;soll;sollte;hat gesollt;kell (belső késztetés);
15;turnen;turnt;turnte;hat geturnt;tornázik;
15;verlieren;verliert;verlor;hat verloren;veszít;
15;wählen;wählt;wählte;hat gewählt;választ;
15;würfeln;würfelt;würfelte;hat gewürfelt;kockával dob, kockára vág;
15;zubinden;bindet zu;band zu;hat zugebunden;beköt;
16;abfahren;fährt ab;fuhr ab;ist abgefahren;elindul;
16;auschecken;checkt aus;checkte aus;hat ausgecheckt;kijelentkezik;
