# [crablit]
# mode = "verbs"
# delim = '	'

# Infinitiv	E/3	Präteritum	Perfekt	Jelentés	Egyéb
ausfüllen	füllt aus	füllte aus	hat ausgefüllt	kitölt	
füttern	füttert	fütterte	hat gefüttern	etet	
garantieren	garantiert	garantierte	hat garantiert	biztosít	
gebären	gebiert	gebar	hat geboren	szül	
gefallen	gefällt	gefiel	hat gefallen	tetszik	
gehören	gehört	gehörte	hat gehört	vmi valakié	das Auto gehört mir: Dativ
ausgehen	geht aus	ging aus	ist ausgegangen	szórakozni megy	
spazieren gehen	geht spazieren	ging spazieren	ist spazieren gegangen	sétál	
zu Fuß gehen	geht zu Fuß	ging zu Fuß	ist zu Fuß gegangen	gyalogol	
genießen	genießt	genoss	hat genossen	élvez	
gestalten	gestaltet	gestaltete	hat gestalten	alakít, formál	
gewinnen	gewinnt	gewann	hat gewonnen	nyer	
gewinnen	gewinnt	gewann	hat gewonnen	győz	
sich gewöhnen	gewöhnt sich	gewöhnte sich	hat gewöhnt	hozzászokik	an+A
eingeben	gibt ein	gab ein	hat eingegeben	bead, betáplál	
gießen	gießt	goss	hat gegossen	önt	
glauben	glaubt	glaubte	hat geglaubt	hisz	
grüßen	grüßt	grüßte	hat gegrüßt	üdvözöl	
halten	hält	hielt	hat gehalten	tart (átvitt értelemben is)	
handeln	handelt	handelte	hat gehandelt	szól v-ről	von+D
hängen	hängt	hängte	hat gehängt	akaszt, rak, helyez	
hassen	hasst	hasste	hat gehaßt	gyűlöl	
haben	hat	hatte	hat gehabt	birtokol	
ein Recht haben	hat ein Recht	hatte ein Recht	hat eine Recht gehabt	joga van vhez	auf + Akk
frei haben	hat frei	hatte frei	hat freigehabt	szabad(ideje van)	
gute Laune haben	hat gute Laune	hatte gute Laune	hat gute Laune gehabt	jó hangulata van	
heiraten	heiratet	heiratete	hat geheiratet	házasodik	
heißen	heißt	hieß	hat geheißen	hív	
helfen	hilft	half	hat geholfen	segít	
hineinlegen	hineinlegt	legte hinein	hat gehineinlegt	betesz, beilleszt	
holen	holt	holte	hat geholt	elmegy érte és elhoz	
abholen	holt ab	holte ab	hat abgeholt	elhoz v-t, elmegy v-ért	
hören	hört	hörte	hat gehört	hallgat	
interessieren	interessiert	interessierte	hat interessiert	érdekel	
sich interessieren	interessiert sich	interessierte sich	hat sich interessiert	érdeklődik	für+A
irritieren	irritiert	irritierte	hat irritiert	irritál	
essen	isst	aß	hat gegessen	eszik	
zu Abend essen	isst zu Abend	aß zu Abend	hat zu Abend gegessen	vacsorázik	
sein	ist	war	ist gewesen	van	
bereit sein	ist bereit	war bereit	ist bereit sein	kész v-re	zu+D
geboren sein	ist geboren	war geboren	ist geboren	születik	
jobben	jobbt	jobbte	hat gejobbt	dolgozik	
joggen	joggt	joggte	ist/hat gejoggt	kocog	ich habe gejoggt/ ich bin durch den Park gejoggt;
können	kann	konnte	hat gekonnt	-hat/het, tud	
sich auskennen	kannt sich aus	kannte sich aus	hat sich ausgekannt	kiismeri magát	
kaufen	kauft	kaufte	hat gekauft	vásárol	
einkaufen	kauft ein	kaufte ein	hat eingekauft	bevásárol	
kennen	kennt	kannte	hat gekannt	ismer	
sich kennen	kennt sich	kannte sich	hat sich gekannt	ismerik egymást	
klettern	klettert	kletterte	ist geklettert	mászik	
kochen	kocht	kochte	hat gekocht	főz	
kommen	kommt	kam	ist gekommen	jön	
ankommen	kommt an	kam an	ist angekommen	megérkezik	
auskommen	kommt aus	kam aus	ist ausgekommen	kijön vkivel	
mitkommen	kommt mit	kam mit	ist mitgekommen	vele jön	
nahekommen	kommt nahe	kam nahe	ist nahegekommen	közel kerül v-hez (átvitt is)	Dativ
kopieren	kopiert	kopierte	hat kopiert	másol	
kosten	kostet	kostete	hat gekostet	kerül vmibe	
küssen	küsst	küsste	hat geküsst	csókol	
lachen	lacht	lachte	hat gelacht	nevet	
einladen	lädt ein	lud ein	hat eingeladen	meghív	
hochladen	lädt hoch	lud hoch	hat hochgeladen	feltölt	
laufen	läuft	lief	ist gelaufen	fut, szalad	
leben	lebt	lebte	hat gelebt	él	
legen	legt	legte	hat gelegt	fektet, rak, helyez	
sich legen	legt sich	legte sich	hat sich gelegt	lefekszik	
leihen	leiht	lieh	hat geliehen	kölcsönöz (ad, vesz)	
leiten	leitet	leitete	hat geleitet	vezet, irányít	
kennenlernen	lernt kennen	lernte kennen	hat kennengelernt	megismer v-t	
sich kennenlernen	lernt sich kennen	lernte sich kennen	hat sich kennengelernt	megismerkedik v-vel	Akkusativ
lieben	liebt	liebte	hat geliebt	szeret (embert)	
liegen	liegt	lag	hat gelegen	fekszik	
lesen	liest	las	hat gelesen	olvas	
löschen	löscht	löschte	hat gelöscht	töröl	
machen	macht	machte	hat gemacht	csinál	
anmachen	macht an	machte an	hat angemacht	be-, felkapcsol	
aufmachen	macht auf	machte auf	hat aufgemacht	kinyit, felnyit	
ausmachen	macht aus	machte aus	hat ausgemacht	megegyezik, kikapcsol	
ausmachen	macht aus	machte aus	hat ausgemacht	megegyezik	
jm eine Freude machen	macht jm eine Freude	machte jm eine Freude	hat jm eine Freude gemacht	örömet szerez	
Yoga machen	macht Yoga	machte Yoga	hat Yoga gemacht	jógázik	
zumachen	macht zu	machte zu	hat zugemacht	bezár	A, an+D
mögen	mag	mochte	hat gemocht	szeret, kedvel	
malen	malt	malte	hat gemalt	fest	
managen	managt	managte	hat gemanagt	menedzsel	
meinen	meint	meinte	hat gemeint	gondol, vél	
sich melden	meldet sich	meldete sich	hat sich gemelden	jelentkezik	
mieten	mietet	mietete	hat gemietet	bérel	
mischen	mischt	mischte	hat gemischt	kever	
mitteilen	mitteilt	teilte mit	hat gemitteilt	közöl akivel	Dativ
motivieren	motiviert	motivierte	hat motiviert	ösztönöz	
müssen	muss	musste	hat gemusst	kell, szükséges	
nennen	nennt	nannte	hat genannt	nevez	
nerven	nervt	nervte	hat genervt	idegesít	
nehmen	nimmt	nahm	hat genommen	vesz(univerzális)	
annehmen	nimmt an	nahm an	hat angenommen	tolerál, elfogad	
mitnehmen	nimmt mit	nahm mit	hat mitgenommen	magával visz	
notieren	notiert	notierte	hat genotiert	jegyzetel	
ordnen	ordnet	ordnete	hat geordnet	rendszerez, elrendez	
organisieren	organisiert	organisierte	hat organisiert	szervez	
sich orientieren	orieniert sich	orientierte sich	hat sich orientiert	tájékozódik	
auspacken	packt aus	packte aus	hat ausgepackt	kipakol	
passieren	passiert	passierte	ist passiert	történik	
passen	passt	passte	hat gepasst	illik, passzol	
passen	passt	passte	hat gepasst	illeszkedik	zu+D
planen	plant	plante	hat geplant	tervez	
anprobieren	probiert an	probierte an	hat angeprobiert	felpróbál	
provozieren	provoziert	provozierte	hat geprovoziert	provokál	
raten	rät	riet	hat geraten	tanácsot ad	
rauchen	raucht	rauchte	hat geraucht	dohányzik	
aufräumen	räumt auf	räumte auf	hat aufgeräumt	kitakarít	
reagieren	reagiert	reagierte	hat reagiert	reagál	
recyceln	recycelt	recycelte	hat recycelt	újrahasznosít	
reden	redet	redete	hat geredet	beszélget	
regnen	regnet	regnete	hat geregnet	esik (eső)	
anregen	regt an	regte an	hat angeregt	ösztönöz	
reisen	reist	reiste	ist gereist	utazik	
relaxen	relaxt	relaxte	hat relaxt	pihen	
rennen	rennt	rannte	ist gerannt	rohan	
renovieren	renoviert	renovierte	hat renoviert	felújít	
reparieren	repariert	reparierte	hat repariert	megjavít	
riechen	riecht	roch	hat gerochen	szaga van v-nek, megszagol	
riechen	riecht	roch	hat gerochen	szaglik	
rufen	ruft	rief	hat gerufen	kiált, szólít	
anrufen	ruft an	rief an	hat angerufen	felhív	
sagen	sagt	sagte	hat gesagt	mond	
absagen	sagt ab	sagte ab	hat abgesagt	lemond v-t	
sammeln	sammelt	sammelte	hat gesammelt	gyűjt	
abschalten	schaltet ab	schaltete ab	hat abgeschaltet	lekapcsol	
sich schämen	schämt sich	schämte sich	hat sich geschämt	szégyelli magát	
anschauen	schaut an	schaute an	hat angeschaut	megnéz	
scheinen	scheint	schien	hat geschienen	süt (a nap)	
schenken	schenkt	schenkte	hat geschenkt	ajándékoz	
schicken	schickt	schickte	hat geschickt	küld	
schießen	schießt	schoss	hat geschossen	lő	
schlafen	schläft	schlief	hat geschlafen	alszik	
abschließen	schließt ab	schloss ab	hat abgeschlossen	befejez, lezár	
schmecken	schmeckt	schmeckte	hat geschmeckt	ízlik	
schreiben	schreibt	schrieb	hat geschrieben	ír	
aufschreiben	schreibt auf	schrieb auf	hat aufgeschrieben	felír	
schreien	schreit	schrie	hat geschrien	kiabál	
schwimmen	schwimmt	schwamm	ist/hat geschwommen	úszik	
segeln	segelt	segelte	hat gesegeln	vitorlázik	
sehen	sieht	sah	hat gesehen	lát	
aussehen	sieht aus	sah aus	hat ausgesehen	kinéz valahogy	
fernsehen	sieht fern	sah fern	hat ferngesehen	tv-t néz	
