# [crablit]
# delim = ';'

# Bedeutung auf Ungarisch     ; Infinitiv, E/3, Präteritum, Perfekt 
reggelizik                    ; frühstücken, frühstückt, frühstückte, hat gefrühstückt 
érzi magát                    ; s. fühlen, fühlt s., fühlte s., hat s. gefühlt 
jól érzi magát                ; s. wohlfühlen, fühlt s. wohl, fühlte s. wohl, hat s. wohlgefühlt 
kitölt                        ; ausfüllen, füllt aus, füllte aus, hat ausgefüllt 
etet                          ; füttern, füttert, fütterte, hat gefüttern 
biztosít                      ; garantieren, garantiert, garantierte, hat garantiert 
szül                          ; gebären, gebiert, gebar, hat geboren 
tetszik                       ; gefallen, gefällt, gefiel, hat gefallen 
vmi valakié                   ; gehören, gehört, gehörte, hat gehört 
szórakozni megy               ; ausgehen, geht aus, ging aus, ist ausgegangen 
sétál                         ; spazieren gehen, geht spazieren, ging spazieren, ist spazieren gegangen 
gyalogol                      ; zu Fuß gehen, geht zu Fuß, ging zu Fuß, ist zu Fuß gegangen 
élvez                         ; genießen, genießt, genoss, hat genossen 
alakít, formál                ; gestalten, gestaltet, gestaltete, hat gestalten 
nyer                          ; gewinnen, gewinnt, gewann, hat gewonnen 
győz                          ; gewinnen, gewinnt, gewann, hat gewonnen 
hozzászokik                   ; s. gewöhnen, gewöhnt s., gewöhnte s., hat s. gewöhnt
bead, betáplál                ; eingeben, gibt ein, gab ein, hat eingegeben 
önt                           ; gießen, gießt, goss, hat gegossen 
hisz                          ; glauben, glaubt, glaubte, hat geglaubt 
üdvözöl                       ; grüßen, grüßt, grüßte, hat gegrüßt 
tart (átvitt értelemben is)   ; halten, hält, hielt, hat gehalten 
szól v-ről                    ; handeln, handelt, handelte, hat gehandelt 
akaszt, rak, helyez           ; hängen, hängt, hängte, hat gehängt 
gyűlöl                        ; hassen, hasst, hasste, hat gehaßt 
birtokol                      ; haben, hat, hatte, hat gehabt 
joga van vhez                 ; ein Recht haben, hat ein Recht, hatte ein Recht, hat eine Recht gehabt 
szabad(ideje van)             ; frei haben, hat frei, hatte frei, hat freigehabt 
jó hangulata van              ; gute Laune haben, hat gute Laune, hatte gute Laune, hat gute Laune gehabt 
házasodik                     ; heiraten, heiratet, heiratete, hat geheiratet 
hív                           ; heißen, heißt, hieß, hat geheißen 
segít                         ; helfen, hilft, half, hat geholfen 
betesz, beilleszt             ; hineinlegen, hineinlegt, legte hinein, hat gehineinlegt 
elmegy érte és elhoz          ; holen, holt, holte, hat geholt 
elhoz v-t, elmegy v-ért       ; abholen, holt ab, holte ab, hat abgeholt 
hallgat                       ; hören, hört, hörte, hat gehört 
érdekel                       ; interessieren, interessiert, interessierte, hat interessiert 
érdeklődik                    ; s. interessieren, interessiert s., interessierte s., hat s. interessiert 
irritál                       ; irritieren, irritiert, irritierte, hat irritiert 
eszik                         ; essen, isst, aß, hat gegessen 
vacsorázik                    ; zu Abend essen, isst zu Abend, aß zu Abend, hat zu Abend gegessen 
van                           ; sein, ist, war, ist gewesen 
kész v-re                     ; bereit sein, ist bereit, war bereit, ist bereit sein 
születik                      ; geboren sein, ist geboren, war geboren, ist geboren 
dolgozik                      ; jobben, jobbt, jobbte, hat gejobbt 
kocog                         ; joggen, joggt, joggte, ist/hat gejoggt 
-hat/het, tud                 ; können, kann, konnte, hat gekonnt 
kiismeri magát                ; s. auskennen, kannt s. aus, kannte s. aus, hat s. ausgekannt 
vásárol                       ; kaufen, kauft, kaufte, hat gekauft 
bevásárol                     ; einkaufen, kauft ein, kaufte ein, hat eingekauft 
ismer                         ; kennen, kennt, kannte, hat gekannt 
ismerik egymást               ; s. kennen, kennt s., kannte s., hat s. gekannt 
mászik                        ; klettern, klettert, kletterte, ist geklettert 
főz                           ; kochen, kocht, kochte, hat gekocht 
jön                           ; kommen, kommt, kam, ist gekommen 
megérkezik                    ; ankommen, kommt an, kam an, ist angekommen 
kijön vkivel                  ; auskommen, kommt aus, kam aus, ist ausgekommen 
vele jön                      ; mitkommen, kommt mit, kam mit, ist mitgekommen 
közel kerül v-hez (átvitt is) ; nahekommen, kommt nahe, kam nahe, ist nahegekommen 
másol                         ; kopieren, kopiert, kopierte, hat kopiert 
kerül vmibe                   ; kosten, kostet, kostete, hat gekostet 
csókol                        ; küssen, küsst, küsste, hat geküsst 
nevet                         ; lachen, lacht, lachte, hat gelacht 
meghív                        ; einladen, lädt ein, lud ein, hat eingeladen 
feltölt                       ; hochladen, lädt hoch, lud hoch, hat hochgeladen 
fut, szalad                   ; laufen, läuft, lief, ist gelaufen 
él                            ; leben, lebt, lebte, hat gelebt 
fektet, rak, helyez           ; legen, legt, legte, hat gelegt 
lefekszik                     ; s. legen, legt s., legte s., hat s. gelegt 
kölcsönöz (ad, vesz)          ; leihen, leiht, lieh, hat geliehen 
vezet, irányít                ; leiten, leitet, leitete, hat geleitet 
megismer v-t                  ; kennenlernen, lernt kennen, lernte kennen, hat kennengelernt 
megismerkedik v-vel           ; s. kennenlernen, lernt s. kennen, lernte s. kennen, hat s. kennengelernt 
szeret (embert)               ; lieben, liebt, liebte, hat geliebt 
fekszik                       ; liegen, liegt, lag, hat gelegen 
olvas                         ; lesen, liest, las, hat gelesen 
töröl                         ; löschen, löscht, löschte, hat gelöscht 
csinál                        ; machen, macht, machte, hat gemacht 
be-, felkapcsol               ; anmachen, macht an, machte an, hat angemacht 
kinyit, felnyit               ; aufmachen, macht auf, machte auf, hat aufgemacht 
megegyezik, kikapcsol         ; ausmachen, macht aus, machte aus, hat ausgemacht 
megegyezik                    ; ausmachen, macht aus, machte aus, hat ausgemacht 
örömet szerez                 ; jm eine Freude machen, macht jm eine Freude, machte jm eine Freude, hat jm eine Freude gemacht 
jógázik                       ; Yoga machen, macht Yoga, machte Yoga, hat Yoga gemacht 
bezár                         ; zumachen, macht zu, machte zu, hat zugemacht 
szeret, kedvel                ; mögen, mag, mochte, hat gemocht 
fest                          ; malen, malt, malte, hat gemalt 
menedzsel                     ; managen, managt, managte, hat gemanagt 
gondol, vél                   ; meinen, meint, meinte, hat gemeint 
jelentkezik                   ; s. melden, meldet s., meldete s., hat s. gemelden 
bérel                         ; mieten, mietet, mietete, hat gemietet 
kever                         ; mischen, mischt, mischte, hat gemischt 
közöl akivel                  ; mitteilen, mitteilt, teilte mit, hat gemitteilt 
ösztönöz                      ; motivieren, motiviert, motivierte, hat motiviert 
kell, szükséges               ; müssen, muss, musste, hat gemusst 
nevez                         ; nennen, nennt, nannte, hat genannt 
idegesít                      ; nerven, nervt, nervte, hat genervt 
vesz(univerzális)             ; nehmen, nimmt, nahm, hat genommen 
tolerál, elfogad              ; annehmen, nimmt an, nahm an, hat angenommen 
magával visz                  ; mitnehmen, nimmt mit, nahm mit, hat mitgenommen 
jegyzetel                     ; notieren, notiert, notierte, hat genotiert 
rendszerez, elrendez          ; ordnen, ordnet, ordnete, hat geordnet 
